test,subject,expected,actual,result,comments
SAVR13,ETW process-added to scan latency,< 50ms,"30487ms (worst case, PID 10340)",FAIL,process \Device\HarddiskVolume3\Users\Nishant Suresh\AppData\Local\Python\pythoncore-3.14-64\python.exe (PID 10340) added at 08:36:22.718 -- next scan fired 30.5s later (event-driven dispatch not implemented)
SAVR13,event-driven dispatch markers,scan triggered within 50ms of ETW event,none found,FAIL,4 AI process ETW event(s) received but no event-driven scan markers found in log -- scanner appears to be ignoring ETW events for dispatch
SAVR18,httpbin.org,DNS status=0 + TCP source=dns_etw,DNS answers=4 transport=DoH latency=0ms -- TCP domain=httpbin.org source=dns_etw url=https://httpbin.org,PASS,
SAVR18,chatgpt.com,DNS status=0 + TCP source=dns_etw,DNS captured (answers=2 transport=UDP latency=0ms) but no subsequent TCP connect with source=dns_etw found,PARTIAL,DNS resolution captured at line 590 but flow correlation missing -- IP-to-domain cache lookup not working for this domain
SAVR15,copilot.microsoft.com,sni + ver + cipher present,pid=704 sni=copilot.microsoft.com ver=TLS 1.2 cipher=0xc02f kex=?(255),PARTIAL,kex unresolved: ?(255) (known defect SAVR-15); alpn not captured (known defect SAVR-15)
SAVR43_1,registration sequence,all 6 milestones,"missing: auth_request, auth_response, heartbeat_ok",NOT_DETECTED,registration/auth sequence not (fully) in run window; start the window at service install/restart to exercise it
SAVR43_1,registration accepted,success=true,false/unparsed,FAIL,server did not confirm success
SAVR43_1,authentication accepted,success=true,not seen,NOT_DETECTED,response line not in run window
SAVR43_1,zero-agent precondition,0 AI processes in all scans before registration,"1 scan(s), max count 1",FAIL,an AI process was detected before registration; this run does not exercise Issue 1
SAVR43_2,heartbeat request,parseable JSON payload,,NOT_DETECTED,no parseable Heartbeat Request data line in the run window
SAVR43_3,agent: ollama.exe (2026-07-24T15:39:26.749960Z),event_type=agent_detected,None,FAIL,unexpected event type
SAVR43_3,agent: ollama.exe (2026-07-24T15:39:26.749960Z),13 combined fields non-null,"missing/null: os_name, os_version, logged_in_user, network_adapters, route_table, working_set_bytes, thread_count, handle_count, process_start_time, flow_id, src_ip, dst_ip, bytes_out",FAIL,process/flow fields absent from combined event (Issue 3 regression)
SAVR43_3,agent: python.exe (2026-07-24T15:09:17.652326Z),event_type=agent_detected,None,FAIL,unexpected event type
SAVR43_3,agent: python.exe (2026-07-24T15:09:17.652326Z),13 combined fields non-null,"missing/null: os_name, os_version, logged_in_user, network_adapters, route_table, working_set_bytes, thread_count, handle_count, process_start_time, flow_id, src_ip, dst_ip, bytes_out",FAIL,process/flow fields absent from combined event (Issue 3 regression)
SAVR16,kernel-file monitor,activity in window,none,NOT_DETECTED,no SecureAIKernelFileMonitor lines in the run window; start the window at a service (re)start on a build with the feature enabled
SAVR6,ollama.exe libraries,loaded_ai_libraries field present,loaded_ai_libraries=[] detection_method=ProcessAnalysis,PASS,
SAVR6,python.exe libraries,"loaded_ai_libraries contains ['torch_python.dll', 'torch_cpu.dll']","actual=[{'lib_name': 'c10.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\c10.dll', 'lib_sha256': 'e8a06cfc75e1482ca492fb3a3c67e9a967b18797f39a736bcbab8a93364e2107'}, {'lib_name': 'libiomp5md.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\libiomp5md.dll', 'lib_sha256': 'ee527c978999653eb18edc3ef372b4e95d4ad9a7691b6d08817be9d38c7d0a02'}, {'lib_name': 'libiompstubs5md.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\libiompstubs5md.dll', 'lib_sha256': '6920b610c0bd16b3acfc247791e986bfc36f247994ef0f6713fbbe1fb0e49214'}, {'lib_name': 'shm.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\shm.dll', 'lib_sha256': 'd8d2b667383605dbdd2e15da16afcf6d35e4657d3db53c4f786352f8608b710e'}, {'lib_name': 'torch_cpu.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\torch_cpu.dll', 'lib_sha256': '(skipped-large-file)'}, {'lib_name': 'uv.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\uv.dll', 'lib_sha256': 'fa569e682fc5fb7a8eb94c6829af9f30a569748dbbc6bce39735d48bc960bcf8'}, {'lib_name': 'torch.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\torch.dll', 'lib_sha256': 'd567647b549f2c1d35f4174b0bb3759c861f52c43c4330521e6aade43e6ebc00'}, {'lib_name': 'torch_global_deps.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\torch_global_deps.dll', 'lib_sha256': '783f45e66e8268470b94cdc6490c8ee07299b5a9a588b71d53c04673cc039102'}, {'lib_name': 'torch_python.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\torch_python.dll', 'lib_sha256': '72e2d8800442e7918ff53a7633c5d7f725be20cfd2f469c5aa542f33a82b4e1f'}, {'lib_name': '_C.cp314-win_amd64.pyd', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\_C.cp314-win_amd64.pyd', 'lib_sha256': 'c89d9767b1e319885898b0ce9d8b3449033c5c89c5cb3033a1b0ff9d2565670d'}]",FAIL,"missing expected libraries: ['torch_python.dll', 'torch_cpu.dll']; unexpected: [{'lib_name': 'c10.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\c10.dll', 'lib_sha256': 'e8a06cfc75e1482ca492fb3a3c67e9a967b18797f39a736bcbab8a93364e2107'}, {'lib_name': 'libiomp5md.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\libiomp5md.dll', 'lib_sha256': 'ee527c978999653eb18edc3ef372b4e95d4ad9a7691b6d08817be9d38c7d0a02'}, {'lib_name': 'libiompstubs5md.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\libiompstubs5md.dll', 'lib_sha256': '6920b610c0bd16b3acfc247791e986bfc36f247994ef0f6713fbbe1fb0e49214'}, {'lib_name': 'shm.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\shm.dll', 'lib_sha256': 'd8d2b667383605dbdd2e15da16afcf6d35e4657d3db53c4f786352f8608b710e'}, {'lib_name': 'torch_cpu.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\torch_cpu.dll', 'lib_sha256': '(skipped-large-file)'}, {'lib_name': 'uv.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\uv.dll', 'lib_sha256': 'fa569e682fc5fb7a8eb94c6829af9f30a569748dbbc6bce39735d48bc960bcf8'}, {'lib_name': 'torch.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\torch.dll', 'lib_sha256': 'd567647b549f2c1d35f4174b0bb3759c861f52c43c4330521e6aade43e6ebc00'}, {'lib_name': 'torch_global_deps.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\torch_global_deps.dll', 'lib_sha256': '783f45e66e8268470b94cdc6490c8ee07299b5a9a588b71d53c04673cc039102'}, {'lib_name': 'torch_python.dll', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\lib\\torch_python.dll', 'lib_sha256': '72e2d8800442e7918ff53a7633c5d7f725be20cfd2f469c5aa542f33a82b4e1f'}, {'lib_name': '_C.cp314-win_amd64.pyd', 'lib_path': 'C:\\Users\\Nishant Suresh\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\torch\\_C.cp314-win_amd64.pyd', 'lib_sha256': 'c89d9767b1e319885898b0ce9d8b3449033c5c89c5cb3033a1b0ff9d2565670d'}]"
SAVR6,python.exe detection_method,LibraryAnalysis,LibraryAnalysis,PASS,
SAVR9,ollama.exe,"user_sid, privileges->not empty, type->primary, integrity->Medium, is_elevated->False","user_sid is present, privileges are present, token type is primary, integrity level is Medium, is_elevated is False",PASS,All fields match
SAVR9,M365Copilot.exe,"user_sid, privileges->not empty, type->primary, integrity->Medium, is_elevated->False","user_sid is present, privileges are present, token type is primary, integrity level is Medium, is_elevated is False",PASS,All fields match
SAVR17,python.exe (torch_python.dll),PROCMOD and SCANNER entries found in log for PIDs ['9404'],"PROCMOD: absent, SCANNER: absent",NOT_DETECTED,neither PROCMOD nor SCANNER lines found in log
SAVR4,ipv4_tcp_table,"at least one IPv4 TCP connect entry, well-formed src/dst ip:port",20 IPv4 entries found,PASS,
SAVR4,ipv6_tcp_table,"at least one IPv6 TCP connect entry, well-formed src/dst ip:port",,NOT_DETECTED,no IPv6 TCP connect lines found in window -- GetExtendedTcp6Table entries not observed
SAVR4,ipv6_cdn_domain_mapping,IPv6 destination addresses resolved to a non-empty domain name,,NOT_DETECTED,no IPv6 entries available to check domain mapping against
SAVR4,quic_heuristic,AI-matched PID with UDP socket + AI domain in DNS cache => is_quic=heuristic (e.g. chrome.exe),,NOT_DETECTED,UDP table enumeration (GetExtendedUdpTable/GetExtendedUdp6Table) not yet implemented -- heuristic cannot fire until UDP work ships
SAVR29,powershell.exe|laptop,"AnomalyPipeline rule fired -> dispatchFlow -> OUTPUT_MODULE batch sent, in order",rule_fired@line1140 (NR-20); dispatch@line1142 (rule=NR-20 sev=RED score=1.00),FAIL,dispatchFlow fired but no OUTPUT_MODULE 'Sent anomaly batch' line followed -- pipeline broke before JSON output stage
SAVR12,openai fixture,TCP connect from PID=3976 to domain=openai.com,PID=3976 domain=openai.com bytes_out=0 bytes_in=0 rtt=0ms retrans=0 syn=1 source=dns_etw url=https://openai.com,PASS,TCP connect line found with matching PID and domain
